xID,yID,Div,Size0,Size4,Size12
556,2073,0,468,812,888
568,258,0,564,901,1015
592,2018,0,666,1057,1219
606,1087,0,799,1190,1357
608,1199,0,652,984,1088
612,2737,0,697,1103,1258
629,2502,0,628,964,1109
674,1899,0,523,835,933
684,2887,0,874,1323,1535
692,2970,0,530,874,994
699,657,0,606,984,1088
712,2544,0,676,919,1094
729,730,0,477,728,815
734,815,0,827,1375,1493
745,1686,0,537,826,969
744,2890,0,641,1005,1124
744,636,0,535,882,983
779,1216,0,690,1072,1251
796,2069,0,403,644,826
818,1987,2,1092,1666,-1
814,2958,0,664,1114,1280
907,2966,0,748,1216,1423
912,2423,0,603,991,1185
911,1721,0,567,832,986
933,801,0,568,810,986
937,1147,0,588,876,977
958,1442,0,765,1229,1337
955,2706,0,490,679,750
967,265,0,533,787,886
984,665,0,543,826,975
1017,2381,0,571,816,954
1020,1332,0,723,1087,1214
1075,424,0,566,973,1013
1107,2015,0,620,991,1119
1150,265,0,895,1327,1498
1165,387,0,827,1248,1434
1201,2309,0,684,1070,1133
1209,354,0,656,998,1182
1241,765,0,566,929,995
1242,2604,0,501,816,934
1246,2518,0,667,1034,1204
1255,1111,0,647,1082,1206
1275,119,0,570,806,964
1284,1160,0,397,560,619
1302,2132,0,718,1123,1290
1310,1345,0,495,757,847
1328,973,0,462,694,763
1362,281,0,583,839,949
1384,2721,0,552,870,1016
1411,1849,0,663,910,1051
1421,1689,0,515,791,892
1467,1830,0,495,471,558
1485,1916,0,454,672,771
1491,187,0,672,949,1107
1498,2242,0,540,760,855
1507,2858,0,611,961,1109
1560,105,0,493,790,903
1602,1872,0,540,741,842
1608,2848,0,494,686,753
1621,920,0,603,920,1046
1670,1967,0,489,727,830
1718,1645,0,520,684,781
1728,2072,0,531,642,697
1734,2548,0,418,686,719
1760,2933,0,480,762,873
1810,2002,0,722,984,1130
1820,1398,0,557,662,750
1821,2271,0,532,631,727
1832,1796,0,564,787,927
1843,855,0,668,1088,1234
1842,1034,0,588,872,1006
1849,2404,0,786,1054,1194
1872,341,0,505,807,943
1880,2948,0,609,804,961
1891,2794,0,603,936,1039
1912,655,0,588,867,983
1937,2540,0,508,650,752
1966,107,0,608,800,947
1984,1444,0,1430,2285,2518
1976,2697,0,677,984,1082
2013,1566,0,625,835,948
2038,1082,0,665,1044,1143

