xID,yID,Div,Size0,Size4,Size30
2753,77,0,490,714,888
2771,523,0,456,651,840
2772,1672,0,477,741,889
2770,2594,2,595,924,-1
2778,2220,0,380,523,605
2835,2835,0,483,619,717
2844,388,0,364,489,591
2862,663,0,331,521,645
2894,1320,0,324,483,568
2907,2221,0,455,748,895
2911,1194,0,548,783,972
2943,723,1,538,883,-1
2956,912,0,332,501,562
2968,539,0,424,689,928
2984,1477,0,473,687,800
3007,77,0,330,526,609
3037,720,0,512,812,899
3041,1406,1,392,606,-1
3046,2547,2,653,1015,-1
3084,1563,0,609,1015,1148
3108,2340,0,466,671,794
3129,233,2,549,835,-1
3131,2582,0,387,544,693
3148,1299,2,524,929,-1
3236,1588,0,478,671,827
3249,2115,0,480,728,870
3259,600,0,419,678,888
3268,1870,0,478,655,835
3279,98,2,643,1015,-1
3289,234,0,387,597,754
3319,2644,1,490,716,-1
3351,242,0,410,629,781
3356,1334,1,811,741,-1
3357,1249,0,483,809,983
3371,190,2,603,977,-1
3412,96,0,513,857,1025
3410,2789,0,371,580,709
3416,889,1,527,859,-1
3424,374,0,521,874,992
3455,148,1,481,821,-1
3480,2715,0,465,624,762
3516,2606,0,350,505,648
3526,2233,0,480,663,772
3535,91,2,614,1003,-1
3533,1777,1,415,725,-1
3575,193,0,476,792,995
3576,2370,0,455,661,869
3608,292,1,491,843,-1
3623,2410,1,509,791,-1
3632,2142,1,582,888,-1
3638,2832,0,523,810,1041
3657,1584,2,527,831,-1
3671,660,0,396,559,712
3676,895,0,377,547,763
3680,2750,0,387,522,725
3684,1221,0,481,670,860
3689,476,1,515,762,-1
3692,1908,0,406,627,819
77,846,2,651,931,-1
77,1738,0,609,854,1522
77,1948,1,485,788,-1
110,2148,0,698,688,996
133,294,0,750,1255,1465
191,641,0,513,639,990
214,1103,0,476,548,1050
240,220,0,575,830,1019
309,1981,0,676,1014,1334
378,1764,0,546,760,1213
448,2381,0,464,559,1017
473,1089,0,416,561,877
550,1858,0,566,804,1357
566,1005,0,451,647,1055
597,1382,2,805,1197,-1
633,830,0,488,673,979
673,996,2,542,798,-1
682,77,2,613,917,-1
