xID,yID,Div0,Div6,Div12,Div18,Div24,Div30,Div36,Div48,Size0,Size6,Size12,Size18,Size24,Size30,Size36,Size48
2903,804,0,0,1,0,0,1,0,0,758,868,1688,1698,1692,1924,1993,1816
2927,2294,0,0,0,0,0,0,2,0,547,664,1123,1071,1100,1312,1317,1482
2938,358,0,0,0,0,0,2,0,0,660,751,1313,1286,1357,1691,1666,1761
2937,1343,0,0,0,0,0,0,0,0,522,569,1089,947,961,1110,1030,1172
2936,1250,0,0,0,0,0,0,0,0,473,552,936,904,904,969,938,995
3152,2005,0,0,0,0,0,2,0,0,525,614,1062,1022,1023,1394,1413,1519
3177,842,0,0,1,1,0,0,0,0,680,748,1669,1900,1819,1893,1827,1870
3177,842,0,0,1,1,0,0,0,0,680,748,1669,1900,1819,1893,1827,1870
3237,116,0,0,0,0,0,0,0,0,533,606,1092,1159,1058,1123,1094,850
3241,2334,0,0,0,0,0,0,0,0,463,566,830,835,833,833,808,872
3266,1015,0,0,0,0,0,0,0,0,503,594,949,966,906,977,965,987
3294,423,0,0,0,0,0,0,0,0,593,659,1152,1338,1101,1110,1048,1121
3361,537,0,0,1,0,0,0,0,0,718,828,1614,1624,1481,1568,1599,1570
3401,863,0,0,0,0,0,0,0,0,458,581,859,798,827,938,923,1033
3469,1832,0,0,0,0,0,0,0,0,507,616,947,984,984,1160,950,1181
3470,2762,0,0,0,0,0,0,0,0,491,732,812,886,894,861,846,903
3482,555,0,3,0,0,0,0,0,0,1739,2276,4459,4446,4625,4847,4785,5136
3482,1990,0,0,0,0,0,0,0,0,468,550,834,879,832,861,823,934
1054,591,0,0,3,0,0,0,0,0,1049,1171,2728,3136,3157,3249,3354,3345
1081,2259,0,0,2,0,1,1,0,0,921,1047,2444,2677,2893,3420,3628,3670
1138,1532,0,2,0,0,1,1,0,0,1174,1734,3231,3603,3817,4260,4750,4749
1150,119,0,0,0,2,0,0,0,0,1086,869,1503,1905,1908,1944,1836,1887
1534,642,0,2,0,0,1,0,0,0,1064,1813,2624,2835,2897,3401,3681,3678
1847,341,0,2,0,0,0,1,0,0,918,1890,2376,2556,2551,2676,3036,3093
2036,1068,0,2,0,1,1,0,0,0,1201,1853,3140,3556,3668,4338,4803,4726
2058,2345,0,0,0,0,0,0,1,0,639,664,1054,1132,1162,1144,1288,1312
2089,326,0,3,0,0,0,1,0,0,1460,2377,4118,4355,4501,5057,5716,5805
2262,1147,0,3,0,0,0,1,0,0,1541,2215,3609,3912,3965,4342,4791,4772
2356,486,0,0,0,0,0,2,0,0,538,599,1016,1065,970,1293,1312,1269
2418,440,0,2,0,1,0,1,0,0,1465,2154,4108,4778,5109,5347,5502,5463
2576,1886,0,2,0,0,1,1,0,0,1406,2037,3479,3929,4288,4926,5304,5295
