context,target,truth_genes,training_magnitude,training_disagreement,variance_eligible_genes,zero_mse,zero_cosine,global_template_mse,global_template_cosine,target_mean_mse,target_mean_cosine,global_shrink_mse,global_shrink_cosine,heterogeneity_shrink_mse,heterogeneity_shrink_cosine,permuted_target_mean_mse,permuted_target_mean_cosine
K562,TBC1D28,6642,0.017515426493366563,0.04791735806514551,6642,0.06296834364754635,nan,0.09289406219301315,0.007608683683082753,0.0770151925378016,0.05222157016301248,0.06319591340420669,0.05222157016301248,0.06279871282494402,0.05222157027146348,0.10523495318404455,0.02956811690188809
K562,TBC1D3,6632,0.027724779913701477,0.07887108978376349,6642,0.2117713802433677,nan,0.22339305358429004,0.11800055750511289,0.23736697145081045,0.013538064254942014,0.21298249675771697,0.013538064254942014,0.2117376973853636,0.013538064121972435,0.23549461252366835,0.0237410672796088
K562,TBCA,6642,0.020156524999439086,0.0473213443341042,6642,0.032767008380436856,nan,0.0629160680509429,0.007020571492844833,0.04471296598284076,0.1597411985279543,0.03197414938485121,0.1597411985279543,0.03193418572361668,0.15974120388601185,0.06675312552367574,0.005008036493737649
K562,TBCB,6642,0.16292916191236514,0.2435443325948407,6642,0.07878732107789342,nan,0.10938824940360806,-7.437069075641815e-05,0.21017097404983506,0.13921305427801373,0.08108401649700799,0.13921305427801373,0.10389419950672697,0.13921305486581692,0.12290344200507451,0.0034482201507485405
K562,TBCC,6642,0.11711550709630819,0.29349372702930865,6640,0.03846539862758533,nan,0.0718097152339028,-0.040092320440382655,0.15534113405569006,0.0017009113768935004,0.045727323195710406,0.0017009113768935004,0.041164021887457276,0.0017009114396607772,0.08445754808210434,-0.024867809730190878
K562,TBCD,6634,0.045535031957318985,0.11466221431556696,6642,0.21070142948157386,nan,0.23086816274546004,0.06507135416686674,0.23527456798652127,0.10704453193546537,0.20830489020217302,0.10704453193546537,0.20850792128080747,0.10704453232378275,0.23548608224535966,0.03576357471849949
K562,TBCE,6642,0.025064364281667827,0.05732415138795031,6642,0.041712772852636734,nan,0.0762808739505505,-0.05562881460018075,0.06579332950573355,0.015213085422064596,0.043033343717042115,0.015213085422064596,0.04289444279609173,0.015213084865024797,0.08295757910443757,-0.005480696388169052
K562,TBL3,6642,0.14977530832150976,0.4049016468640249,6621,0.12751286105373877,nan,0.1788770175545882,-0.16627430004879268,0.2696601773382117,0.027247354908985225,0.13498547889794932,0.027247354908985225,0.12752169296788773,0.027247355152276543,0.2602282857503905,-0.14245953336328598
K562,TBP,6642,0.055644923012161805,0.12218693566662531,6642,0.04850335170316056,nan,0.08413099072152656,-0.06534058360946272,0.0863737296969952,0.171068422025508,0.04753752313261335,0.171068422025508,0.047737087174387224,0.17106842191349436,0.10060396348860633,0.040905657366024153
K562,TCERG1,6642,0.07855949138305982,0.15361870684850054,6642,0.08527710823006317,nan,0.10674863926402305,0.08929617879338472,0.10705937691928188,0.3468395269363183,0.07599277076771926,0.3468395269363183,0.07503254733434245,0.3468395263459044,0.1298236980982702,-0.009927821466439859
K562,TCOF1,6642,0.08555325861015757,0.21777301008226427,6641,0.07372353595367404,nan,0.10549025461561892,-0.0123504806014524,0.13899971893000193,0.13478300325479373,0.07375899229255854,0.13478300325479373,0.07243719381831472,0.13478300344682043,0.1469405293653387,-0.009161563388744826
K562,TCP1,6642,0.16683828326045136,0.4033590423648156,6613,0.16579584617712662,nan,0.16807243410016762,0.19879960984363892,0.2880820293004855,0.1360015947666655,0.1649363454818433,0.1360015947666655,0.16279102387225186,0.13600159519875074,0.19360258342554432,0.01913800862670922
K562,TDGF1,6642,0.05664634583733341,0.1575824886152181,6642,0.05226814187712633,nan,0.08074902596123695,0.02641693320787588,0.10670717694004252,0.0202828507307402,0.055256710810617504,0.0202828507307402,0.05237745000405373,0.020282849992663658,0.1394652354330693,0.007247517347863511
K562,TEAD3,6642,0.015908651615185936,0.04500394674613873,6642,0.02035651312420399,nan,0.055410633876651474,-0.08936879264869936,0.03431743543192335,0.05411656443346415,0.02086387152798305,0.05411656443346415,0.02029717520191132,0.05411656602957808,0.12144661101307178,-0.0728660736929799
K562,TEFM,6642,0.06520114715800704,0.1387358466848701,6641,0.03607784725674174,nan,0.06270244939344337,0.059733492176215264,0.07729490182423222,0.2607889511189123,0.03385195510930449,0.2607889511189123,0.0342506918762103,0.2607889493229337,0.07982420896610598,0.023814891206393983
K562,TELO2,6642,0.1000859110401699,0.18317475710667153,6641,0.12397716996494862,nan,0.1387352362055169,0.1285633212118689,0.14444641350474005,0.36088790303282664,0.11008322755033496,0.36088790303282664,0.10784634505989484,0.3608879031616222,0.23054782056753145,0.06267746717274016
K562,TEN1,6642,0.029354636714216526,0.07942984116103394,6642,0.06062548780071124,nan,0.0880301688685067,0.03702319492178088,0.08500685432139905,0.05894487920384538,0.061216835044633,0.05894487920384538,0.060420059706013274,0.058944879570682784,0.12979958344537726,-0.01215718472205673
K562,TERF1,6642,0.06828835531922184,0.17206018547333052,6642,0.06972324766551635,nan,0.10126720785887933,-0.010288266147743683,0.13021283319324262,0.056511127787889026,0.07204157742489044,0.056511127787889026,0.07018917055958407,0.05651112765540469,0.09052783323565206,0.013668280396177436
K562,TERF2,6639,0.15119274729009677,0.20445250368534684,6642,0.19627865927627633,nan,0.1846882468996113,0.2722081812128388,0.2394386738988702,0.3126778121667993,0.17880878496581729,0.3126778121667993,0.18261215418514148,0.3126778123103457,0.2841973065187482,0.18193981875805013
K562,TEX10,6642,0.22039942441232888,0.2912823149233144,6642,0.06584021170568519,nan,0.08302246707176941,0.14941082957155047,0.23098720040347678,0.22933513474691364,0.0658020668049006,0.22933513474691364,0.10334650623582134,0.22933513486203785,0.15605080224050635,0.24158944748161967
K562,TFAM,6642,0.007218271997213662,0.005775013352986307,6642,0.07194000260390304,nan,0.09757475423666025,0.05285090025743366,0.06783294319986145,0.24849581476827073,0.06955981172555831,0.24849581476827073,0.06751659937624784,0.24849581341489296,0.1146108098182114,0.03806139262541773
K562,TFB2M,6642,0.035149609448312746,0.09345136705076171,6642,0.03196915945651508,nan,0.06294713199335707,-0.006144862417018018,0.06375094241525366,0.050233547519095936,0.03332405342876071,0.050233547519095936,0.032040787345685336,0.05023354730219329,0.1564389152643566,-0.007901506196280264
K562,TFDP1,6642,0.01900015555854593,0.03618734774119955,6642,0.04619265265230056,nan,0.06274382179524689,0.1867717417842365,0.04770750189215953,0.29510612323792723,0.04300883577745135,0.29510612323792723,0.042341307778115844,0.2951061226872532,0.07613280159628268,0.15068726254609718
K562,TFIP11,6642,0.35383482772905894,0.5059493615585983,6593,0.15657422667732213,nan,0.15508302741424432,0.2317896645191732,0.3355941466803184,0.37762750395913025,0.1342463577817919,0.37762750395913025,0.15655481310558084,0.3776275046125588,0.2593744033204265,0.17246700218428815
K562,TFRC,6641,0.04747346088088989,0.13472711837697338,6642,0.0940770960272318,nan,0.12168699986910333,0.027826173053122523,0.13239044230472408,0.0683452406481649,0.09475938160727622,0.0683452406481649,0.09372867104856324,0.06834524006409816,0.17583199388864768,-0.002131133880058562
K562,TGS1,6642,0.07164249107441494,0.12099871375073744,6642,0.03527466629137737,nan,0.0632178748093258,0.04034013253049401,0.0990605410110481,0.07814276052025948,0.03778816791507316,0.07814276052025948,0.0455008022253536,0.07814275967667851,0.08374661385377669,0.059065981801815895
K562,THAP1,6642,0.13817940558635608,0.2011627756242867,6642,0.08569484567840795,nan,0.10504396604866043,0.10980384191661723,0.16804823684527168,0.25651196050952174,0.0803745548380009,0.25651196050952174,0.09356977572505713,0.256511959690181,0.1401838686670257,-0.018513828163268083
K562,THAP11,6642,0.03451617966286666,0.052932416811352974,6642,0.11293223991756354,nan,0.1414347596023539,0.017787774788974732,0.10675051741621149,0.32592801941233107,0.10491502555070302,0.32592801941233107,0.10128579136867236,0.3259280198356448,0.2164876783779469,0.008270314767209113
K562,THG1L,6635,0.13677105926102803,0.17731111246469583,6641,0.2281352625755822,nan,0.21839271423285214,0.24146074208665402,0.2405932000325448,0.35130518241776104,0.2056748226757098,0.35130518241776104,0.20167753823767065,0.35130518188248333,0.2831923942837138,0.1758388599023604
K562,THOC1,6639,0.16995470255961,0.31855278047169944,6640,0.19438760823163342,nan,0.2055718754880514,0.12589023048274597,0.29075517557779657,0.20230537956431113,0.18662367663991253,0.20230537956431113,0.19014048051155916,0.20230537932240636,0.2177105584368127,0.029796837461847723
K562,THOC2,6642,0.20382452791329742,0.308546604802823,6641,0.175761596482253,nan,0.17206130316900817,0.23383507410269563,0.1856150363425948,0.5123692339303405,0.14001324837118276,0.5123692339303405,0.12962267226651272,0.5123692339433152,0.17847494047012433,0.2527058606287525
K562,THOC3,6642,0.14335095706773424,0.17886823295332893,6642,0.0747374203958279,nan,0.10110434386111569,0.04419642459199517,0.1540408907394865,0.3093874880836328,0.06768498352790438,0.3093874880836328,0.08621176681843351,0.3093874890587961,0.17786922699742552,0.029216491855556238
K562,THOC5,6640,0.13473405286857262,0.22462857278381762,6642,0.25649008876531276,nan,0.24394847594613467,0.2434492414849075,0.26187318112012903,0.3474132148322042,0.23263965012748755,0.3474132148322042,0.2257054720030791,0.3474132146786173,0.2894367130673271,0.16188386049640144
K562,THOC6,6642,0.02947767174534708,0.06413535149901312,6641,0.06566180735337707,nan,0.09471248537122653,0.017212713117998418,0.0708985005553819,0.2958230022298499,0.060855251413822184,0.2958230022298499,0.06060112757971516,0.2958229982339431,0.16330757336874827,-0.013592488862826296
K562,THOC7,6642,0.05819866066733256,0.09189852275895147,6642,0.08323769921843722,nan,0.10113729857184373,0.12577487465347828,0.08315514257516907,0.4186798789020217,0.07230481117625726,0.4186798789020217,0.06868933843619691,0.4186798781944841,0.24896574395193463,0.011560845505438127
K562,TICRR,6642,0.2278923349521354,0.35509326291328946,6642,0.07442653281056472,nan,0.098703420392781,0.0661886482648724,0.2796232084468078,0.0871332783542505,0.08299588892206768,0.0871332783542505,0.11462024024670144,0.08713327885657375,0.12173459353410733,-0.0394048894341172
