context,fold,treatment,source_lines,effective_source_lines,candidate_risk_score,disagreement_risk_score,treatment_risk_risk_score,magnitude_risk_score,mean_mse,zero_mse,ridge_descriptive_mse
CVCL_1716,3,"[('Regorafenib', 0.05, 'uM')]",40,36.71464378403418,0.00044462794442418313,0.0004246830797924825,0.0004355723895307511,9.31652556937962e-05,0.0004513927864161269,0.0004730819749991016,0.00045681295814090734
CVCL_1716,3,"[('SBI-0640756', 0.05, 'uM')]",40,36.71464378403418,0.0005123778225779174,0.0005009562251079104,0.0005138012565209335,7.776146487647479e-05,0.0007390475611510914,0.0007036211342900319,0.0007522885773091808
CVCL_1716,3,"[('Sapanisertib', 0.05, 'uM')]",40,36.71464378403418,0.0006908691408551799,0.0006683328256573246,0.0006854695647767427,0.00018785306403599111,0.00038256072531903795,0.0004247256905367175,0.0003835493605175274
CVCL_1716,3,"[('Sonidegib', 0.05, 'uM')]",40,36.71464378403418,0.005776847347555098,0.006369347729875062,0.006532664338333395,0.0005146607367840435,0.025498233765971157,0.02583066717822067,0.02559820721382075
CVCL_1716,3,"[('TAK-733', 0.05, 'uM')]",40,36.71464378403418,0.0005645702788306742,0.0005339043956229468,0.000547594251920971,0.00013500884751069893,0.00032862875282373437,0.00033004195709030436,0.0003297047258312733
CVCL_1716,3,"[('TAK-901', 0.05, 'uM')]",40,36.71464378403418,0.0011614514550651633,0.0011304685795430031,0.0011594549533774387,0.00023798511487851698,0.0008127700637066374,0.000844843080385253,0.0008161583625067827
CVCL_1716,3,"[('Temuterkib', 0.05, 'uM')]",40,36.71464378403418,0.0004754667971217598,0.0004541973413500323,0.00046584342702567385,0.00011841638410721066,0.0004225198114494219,0.00048211987095185137,0.00043157218206632276
CVCL_1716,3,"[('Tomivosertib', 0.05, 'uM')]",40,36.71464378403418,0.000575484895339111,0.0005481050578254523,0.0005621590336671305,0.00012181957576236394,0.0005450347694860482,0.0006312870861297941,0.0005548293252893324
CVCL_1716,3,"[('Torkinib', 0.05, 'uM')]",40,36.71464378403418,0.0005314159595966021,0.0005076108059165853,0.0005206264676067542,0.00011689470718856356,0.0004235442969042135,0.0004561768507496682,0.0004279007913084274
CVCL_1716,3,"[('Trametinib', 0.05, 'uM')]",40,36.71464378403418,0.0006713234696360947,0.0006341009792046324,0.0006503599786714177,0.0001837654669588096,0.000515275766405288,0.0006821444546564503,0.0005117162335817456
CVCL_1716,3,"[('Tubulin inhibitor 6', 0.05, 'uM')]",40,36.71464378403418,0.0005034445621095471,0.00045512958650747976,0.0004667995759051074,8.275360254442702e-05,0.0004418095395198861,0.0005109052285461127,0.0004533813755222169
CVCL_1716,3,"[('Tucatinib', 0.05, 'uM')]",40,36.71464378403418,0.0005133148228399962,0.0004814293163790968,0.0004937736578247145,0.00010143961345181364,0.00039416281975938747,0.00044041269489108835,0.00040660538843431926
CVCL_1716,3,"[('ULK-101', 0.05, 'uM')]",40,36.71464378403418,0.0007134812879728852,0.0006880874670966695,0.0007057307354837634,0.00015521669900870453,0.000557206530826893,0.0005864306744850536,0.0005694847018110875
CVCL_1716,3,"[('Vemurafenib', 0.05, 'uM')]",40,36.71464378403418,0.0004772488101537816,0.000454167387315234,0.00046581270493870134,8.860432538902819e-05,0.0003866152264245398,0.0004132610224977119,0.00039680796620682483
CVCL_1716,3,"[('Volasertib', 0.05, 'uM')]",40,36.71464378403418,0.000467449683460468,0.0004504194172179032,0.000461968633044003,8.139934268057883e-05,0.0005823637238414521,0.0005714473607353045,0.0005903409852363116
